# X(m) Y(m) Z(m)
1.076543927192687988e-01 1.305834390223026276e-02 -1.447147279977798462e-01
1.181706339120864868e-01 1.623864471912384033e-02 -1.483752429485321045e-01
1.283787786960601807e-01 1.561583206057548523e-02 -1.795990318059921265e-01
3.223616480827331543e-01 4.415974393486976624e-02 -2.979374527931213379e-01
2.865949869155883789e-01 6.162989512085914612e-02 -3.322527706623077393e-01
3.902130722999572754e-01 7.789930701255798340e-02 -3.980820477008819580e-01
3.999576866626739502e-01 5.288617312908172607e-02 -3.976398110389709473e-01
3.966962099075317383e-01 5.475197732448577881e-02 -4.029352366924285889e-01
3.402691781520843506e-01 6.406958401203155518e-02 -3.626347780227661133e-01
3.351724147796630859e-01 6.439898163080215454e-02 -3.695209026336669922e-01
3.360190391540527344e-01 5.527434125542640686e-02 -3.637145459651947021e-01
4.378848075866699219e-01 4.500852897763252258e-03 -3.085391521453857422e-01
4.341031312942504883e-01 -3.087134845554828644e-02 -3.110828995704650879e-01
4.325149357318878174e-01 -2.916524186730384827e-02 -3.122463822364807129e-01
4.498345851898193359e-01 -2.079808898270130157e-02 -3.142794072628021240e-01
4.663791954517364502e-01 -2.873485907912254333e-02 -3.143183588981628418e-01
4.622977674007415771e-01 -2.837669476866722107e-02 -3.231743574142456055e-01
4.732414782047271729e-01 -2.732610702514648438e-02 -3.065048158168792725e-01
4.694190323352813721e-01 -2.624553442001342773e-02 -3.007781505584716797e-01
4.672046005725860596e-01 -1.319017633795738220e-02 -2.964226007461547852e-01
4.689719974994659424e-01 -1.305446960031986237e-02 -2.844557464122772217e-01
4.690490663051605225e-01 -1.025377865880727768e-02 -2.808620929718017578e-01
4.696623682975769043e-01 3.401165595278143883e-03 -2.832480370998382568e-01
4.695670008659362793e-01 8.641214109957218170e-03 -2.930256724357604980e-01
4.633420705795288086e-01 1.422410830855369568e-02 -2.903201282024383545e-01
4.644829630851745605e-01 9.634458459913730621e-03 -2.918926775455474854e-01
4.606171548366546631e-01 -7.071699015796184540e-03 -2.728719413280487061e-01
4.611688554286956787e-01 -6.571588106453418732e-03 -2.739278674125671387e-01
4.620691835880279541e-01 -1.980233937501907349e-04 -2.844068408012390137e-01
4.600442647933959961e-01 3.473046934232115746e-03 -2.850565612316131592e-01
4.556286036968231201e-01 7.496748119592666626e-03 -2.790702879428863525e-01
4.527353644371032715e-01 1.510312221944332123e-02 -2.851202189922332764e-01
4.509590268135070801e-01 2.076139673590660095e-02 -3.109803795814514160e-01
4.511961638927459717e-01 3.841144964098930359e-02 -3.140593767166137695e-01
4.467449784278869629e-01 4.584505036473274231e-02 -3.184459209442138672e-01
4.465387761592864990e-01 4.886746034026145935e-02 -3.157959282398223877e-01
4.544262886047363281e-01 5.389918759465217590e-02 -3.323334157466888428e-01
4.501636922359466553e-01 8.498698472976684570e-02 -3.603877127170562744e-01
4.454505145549774170e-01 9.913469851016998291e-02 -3.746439218521118164e-01
4.442422389984130859e-01 1.086976230144500732e-01 -3.844493031501770020e-01
4.385544657707214355e-01 1.209074109792709351e-01 -3.923623859882354736e-01
4.287568926811218262e-01 1.226398870348930359e-01 -4.022189080715179443e-01
4.269787669181823730e-01 1.217053979635238647e-01 -4.095572233200073242e-01
4.217830002307891846e-01 1.122696101665496826e-01 -4.198091328144073486e-01
4.170509278774261475e-01 1.032028645277023315e-01 -4.298859834671020508e-01
4.140664339065551758e-01 9.387891739606857300e-02 -4.375811815261840820e-01
4.141764640808105469e-01 7.631351053714752197e-02 -4.474037587642669678e-01
4.199447035789489746e-01 6.022665649652481079e-02 -4.764002263545989990e-01
4.230272173881530762e-01 6.071154400706291199e-02 -4.772642552852630615e-01
4.249011576175689697e-01 6.096111610531806946e-02 -4.747361540794372559e-01
4.250886440277099609e-01 5.579842627048492432e-02 -4.762550890445709229e-01
4.242635369300842285e-01 4.906625673174858093e-02 -4.772924184799194336e-01
4.241926074028015137e-01 4.643450304865837097e-02 -4.771364629268646240e-01
4.269673228263854980e-01 4.193509742617607117e-02 -4.870627820491790771e-01
4.288420975208282471e-01 4.082575812935829163e-02 -4.875343739986419678e-01
4.309359788894653320e-01 3.755291551351547241e-02 -4.872497618198394775e-01
4.352807104587554932e-01 3.911748528480529785e-02 -4.971139729022979736e-01
4.368555247783660889e-01 4.337084293365478516e-02 -4.835269749164581299e-01
4.422675967216491699e-01 5.151770636439323425e-02 -4.809378385543823242e-01
4.519682526588439941e-01 4.648753255605697632e-02 -4.759976863861083984e-01
4.568092823028564453e-01 5.207826942205429077e-02 -4.749757647514343262e-01
4.577109217643737793e-01 5.214738845825195312e-02 -4.750883877277374268e-01
4.588887393474578857e-01 6.088991835713386536e-02 -4.762011468410491943e-01
4.590702950954437256e-01 5.816893652081489563e-02 -4.758192896842956543e-01
4.598027467727661133e-01 5.492593720555305481e-02 -4.776759445667266846e-01
4.631752669811248779e-01 4.925112053751945496e-02 -4.861094653606414795e-01
4.661994874477386475e-01 4.806521162390708923e-02 -4.855106174945831299e-01
4.692527353763580322e-01 5.186581239104270935e-02 -4.871899187564849854e-01
4.648880660533905029e-01 5.574700981378555298e-02 -4.807496666908264160e-01
4.517943859100341797e-01 5.641540512442588806e-02 -4.712882637977600098e-01
4.515947699546813965e-01 5.606392025947570801e-02 -4.663521945476531982e-01
4.614331722259521484e-01 5.871425941586494446e-02 -4.631825685501098633e-01
4.704039096832275391e-01 5.776108801364898682e-02 -4.629498422145843506e-01
4.727205336093902588e-01 5.638426914811134338e-02 -4.627345800399780273e-01
4.711450636386871338e-01 5.662374943494796753e-02 -4.599994122982025146e-01
4.724337756633758545e-01 5.656444653868675232e-02 -4.598296582698822021e-01
4.725171923637390137e-01 5.703529343008995056e-02 -4.590613245964050293e-01
4.718960523605346680e-01 5.780668184161186218e-02 -4.552108049392700195e-01
4.720240533351898193e-01 5.787682160735130310e-02 -4.550254046916961670e-01
4.726155698299407959e-01 5.689357221126556396e-02 -4.558501839637756348e-01
4.727750718593597412e-01 5.669328570365905762e-02 -4.567756056785583496e-01
4.731205999851226807e-01 5.540343001484870911e-02 -4.587385952472686768e-01
4.732462167739868164e-01 5.514309182763099670e-02 -4.598115086555480957e-01
4.729997217655181885e-01 5.493926629424095154e-02 -4.599744677543640137e-01
4.728800356388092041e-01 5.537347123026847839e-02 -4.602346718311309814e-01
4.722312092781066895e-01 5.867537483572959900e-02 -4.599159955978393555e-01
4.700449109077453613e-01 6.023882701992988586e-02 -4.579057395458221436e-01
4.696245789527893066e-01 6.215918436646461487e-02 -4.497984945774078369e-01
4.692702293395996094e-01 6.335435062646865845e-02 -4.424789249897003174e-01
4.704949855804443359e-01 5.949690192937850952e-02 -4.418204724788665771e-01
4.739309251308441162e-01 5.907673761248588562e-02 -4.441343247890472412e-01
4.740827679634094238e-01 5.864847823977470398e-02 -4.472882449626922607e-01
4.745021760463714600e-01 5.752727016806602478e-02 -4.532445669174194336e-01
4.746763706207275391e-01 5.968316644430160522e-02 -4.511463642120361328e-01
4.600641131401062012e-01 5.930311977863311768e-02 -4.246877729892730713e-01
4.452511370182037354e-01 6.254336237907409668e-02 -4.113696217536926270e-01
4.422006607055664062e-01 4.775616526603698730e-02 -3.999842703342437744e-01
4.675444066524505615e-01 5.747755616903305054e-02 -3.836039304733276367e-01
4.684220552444458008e-01 5.793557316064834595e-02 -3.821277320384979248e-01
4.695481956005096436e-01 5.623269453644752502e-02 -3.822692930698394775e-01
4.696658849716186523e-01 5.499913170933723450e-02 -3.825631141662597656e-01
4.714273512363433838e-01 5.521260574460029602e-02 -3.840853869915008545e-01
4.715562164783477783e-01 5.326708778738975525e-02 -3.853038251399993896e-01
4.731786549091339111e-01 5.309378355741500854e-02 -3.860022425651550293e-01
4.748443961143493652e-01 5.271058529615402222e-02 -3.877521753311157227e-01
4.789457917213439941e-01 6.779945641756057739e-02 -3.898814320564270020e-01
4.827849268913269043e-01 5.279636383056640625e-02 -3.999004065990447998e-01
4.802061319351196289e-01 4.803052544593811035e-02 -4.140253961086273193e-01
4.785749018192291260e-01 4.510199278593063354e-02 -4.206485450267791748e-01
4.767106175422668457e-01 3.950553014874458313e-02 -4.253056049346923828e-01
4.682129919528961182e-01 4.636367410421371460e-02 -4.231994748115539551e-01
4.632725417613983154e-01 4.428483918309211731e-02 -4.219651520252227783e-01
4.649922251701354980e-01 3.600833564996719360e-02 -4.180885255336761475e-01
4.658646881580352783e-01 3.584776818752288818e-02 -4.154218435287475586e-01
4.673921167850494385e-01 3.630977496504783630e-02 -4.126872718334197998e-01
4.666732847690582275e-01 3.716697171330451965e-02 -4.073300659656524658e-01
4.664399623870849609e-01 4.054852202534675598e-02 -4.008008837699890137e-01
4.734591245651245117e-01 3.665137663483619690e-02 -3.990071415901184082e-01
4.734913408756256104e-01 3.288508951663970947e-02 -3.972136974334716797e-01
4.736493229866027832e-01 2.895987592637538910e-02 -3.959750235080718994e-01
4.738429486751556396e-01 2.888980135321617126e-02 -3.947774171829223633e-01
4.738816916942596436e-01 2.603955194354057312e-02 -3.938899934291839600e-01
4.740074276924133301e-01 2.468892745673656464e-02 -3.922689557075500488e-01
4.743479192256927490e-01 2.217922359704971313e-02 -3.914016187191009521e-01
4.751305580139160156e-01 2.071446180343627930e-02 -3.909484744071960449e-01
4.755195081233978271e-01 2.052869275212287903e-02 -3.908415734767913818e-01
4.753815531730651855e-01 2.026903443038463593e-02 -3.907524943351745605e-01
4.689196050167083740e-01 2.251472137868404388e-02 -3.808013796806335449e-01
4.659337401390075684e-01 2.202046662569046021e-02 -3.784400820732116699e-01
4.657911360263824463e-01 1.900867745280265808e-02 -3.766449391841888428e-01
4.657442271709442139e-01 1.765835657715797424e-02 -3.761359453201293945e-01
4.656551480293273926e-01 1.562100555747747421e-02 -3.750191926956176758e-01
4.656413495540618896e-01 1.546992361545562744e-02 -3.740760982036590576e-01
4.653852581977844238e-01 1.545366644859313965e-02 -3.737781345844268799e-01
4.654538631439208984e-01 1.560689136385917664e-02 -3.729788661003112793e-01
4.654618203639984131e-01 1.550675928592681885e-02 -3.727056086063385010e-01
4.653882682323455811e-01 1.557601243257522583e-02 -3.726212084293365479e-01
4.895050227642059326e-01 1.293694227933883667e-02 -3.757813572883605957e-01
5.005454421043395996e-01 1.223835721611976624e-02 -3.831732571125030518e-01
5.216572284698486328e-01 3.147739171981811523e-02 -4.124822616577148438e-01
5.196031332015991211e-01 3.272797167301177979e-02 -4.295220673084259033e-01
5.155044198036193848e-01 2.657505497336387634e-02 -4.449957311153411865e-01
5.126428604125976562e-01 2.467558905482292175e-02 -4.565376043319702148e-01
5.046027898788452148e-01 2.636290900409221649e-02 -4.601831734180450439e-01
4.999627470970153809e-01 3.521668165922164917e-02 -4.662468433380126953e-01
4.909252822399139404e-01 3.517696261405944824e-02 -4.709323048591613770e-01
4.823708236217498779e-01 3.509618341922760010e-02 -4.731366038322448730e-01
4.439341425895690918e-01 4.388566687703132629e-02 -4.743192493915557861e-01
4.405969381332397461e-01 4.440319165587425232e-02 -4.742905497550964355e-01
4.388921856880187988e-01 4.125535860657691956e-02 -4.746388494968414307e-01
4.387151896953582764e-01 3.588481992483139038e-02 -4.783354401588439941e-01
4.365265965461730957e-01 3.538629785180091858e-02 -4.811231791973114014e-01
4.329026937484741211e-01 3.513482213020324707e-02 -4.829432666301727295e-01
4.286978840827941895e-01 3.555861115455627441e-02 -4.832840859889984131e-01
4.253608584403991699e-01 3.726200014352798462e-02 -4.797233939170837402e-01
4.250738322734832764e-01 3.756022825837135315e-02 -4.784569740295410156e-01
4.250523746013641357e-01 3.861008211970329285e-02 -4.778046309947967529e-01
4.261678457260131836e-01 3.507138043642044067e-02 -4.754870831966400146e-01
4.275044798851013184e-01 3.497593104839324951e-02 -4.754365086555480957e-01
4.275200963020324707e-01 3.569202125072479248e-02 -4.736815392971038818e-01
4.260971248149871826e-01 3.760636597871780396e-02 -4.691323637962341309e-01
4.254731833934783936e-01 3.724499791860580444e-02 -4.637951850891113281e-01
4.262963235378265381e-01 3.527628630399703979e-02 -4.643352329730987549e-01
